A_23_P104346,A_23_P112482,A_23_P11341,A_23_P130642,A_23_P18055,A_23_P200801,A_23_P250156,A_23_P252603,A_23_P255968,A_23_P26243,A_23_P29257,A_23_P3169,A_23_P361085,A_23_P371155,A_23_P401106,A_23_P4640,A_23_P73058,A_23_P74114,A_23_P76291,A_23_P77807,A_24_P161463,A_24_P170826,A_24_P178693,A_24_P299007,A_24_P303420,A_24_P304969,A_24_P350622,A_24_P360529,A_24_P367473,A_24_P412943,A_24_P56130,A_24_P795106,A_24_P858698,A_24_P931845,A_24_P934528,A_32_P136477,A_32_P159726,A_32_P41461,Class
4362.6357,386.2746,247.30075,2338.1157,101.105995,61.84575,369.60403,128.34517,216.36305,8415.947,77.43566,227.01802,4715.128,655.80945,266.87714,54.28753,668.41473,1545.1342,71.63932,66.60544,2786.8247,1223.4324,4679.6855,163.10078,51.717365,4591.1396,130.15324,202.31065,438.67365,119.82148,8357.973,44.576454,1256.5869,61.910805,177.14117,79.71604,71.24856,6232.518,Autism
2925.163,728.75775,315.6344,2029.1261,154.97429,139.5509,275.74887,217.61887,237.14005,14451.786,45.548607,393.12805,5821.051,1261.6908,142.631,100.726814,534.03906,1380.2297,85.382095,40.90405,4661.365,992.78436,6790.865,186.16022,222.27989,2144.3904,91.43008,311.04822,483.59897,162.16226,12095.984,75.58611,1150.623,43.556385,211.5012,105.13,104.74719,3973.1829,Control
4129.783,285.63077,202.20717,3433.0508,55.14201,45.13247,451.78912,85.867874,216.06963,7501.7656,74.710144,174.63187,3125.1086,596.1411,200.30138,30.148699,901.113,1898.9114,62.3243,101.63772,1897.2427,1027.2026,3888.313,115.629974,28.651693,5846.684,58.85442,128.18158,317.37512,74.704834,6986.6484,46.69415,1394.7477,99.021454,122.61877,56.681713,53.55019,3605.2478,Autism
2027.1406,588.38196,262.87753,2822.9294,86.37343,90.473656,165.89487,204.13435,138.1642,9316.12,57.827045,238.92737,5881.984,1044.7577,113.00993,95.63329,748.41473,1735.5166,118.67549,57.24635,2154.1724,697.7468,5762.5234,282.198,124.44578,2303.2275,91.76346,287.12308,302.77148,166.5857,10033.834,97.84927,694.72125,44.983765,184.22783,94.45601,68.608215,2712.4238,Control
2937.3994,279.27094,110.44182,2269.1868,53.52455,40.658382,284.16296,96.54462,189.22453,4553.5283,33.880085,114.9112,2577.7605,340.7399,166.80939,29.817808,581.4824,1324.6373,59.86703,61.21134,1834.9707,948.2489,1944.2092,116.96539,65.85,4349.7583,24.395456,134.75209,193.37842,72.3475,2987.8625,39.84352,1340.6321,58.353985,110.36512,35.939564,33.861443,3721.1829,Autism
4083.1104,587.05133,247.54797,2297.2913,73.95395,84.278114,478.66232,128.1798,319.54468,9048.268,59.699295,139.95535,3033.0972,609.86053,226.71532,64.025116,640.1527,1422.0334,124.06557,113.61373,3090.9158,1135.9495,3564.9365,223.30478,123.9365,3826.849,73.66362,209.04106,678.427,127.77669,7718.0186,60.552017,1037.7837,104.01734,114.25813,88.42711,76.329735,3130.6892,Control
3929.8123,310.12247,128.10869,2830.1772,32.356583,54.790943,510.71854,104.84958,161.97906,7841.301,40.097088,98.1692,2620.2153,503.09384,176.64018,44.961037,795.43335,1637.1843,53.541836,77.30044,1582.614,1376.263,4361.134,87.25512,97.46475,5562.0776,73.03381,93.336296,109.950966,53.001984,6954.7065,55.577633,1384.5859,80.81166,89.64814,45.88088,84.26166,3651.5938,Autism
5118.0474,684.7908,374.6269,2614.314,78.78396,92.58859,513.7005,174.79546,196.66924,14224.949,52.56222,253.82971,2791.554,1007.71265,224.55061,64.78638,760.06384,1581.5504,85.97883,73.63509,3300.3975,1529.2682,6366.374,235.6256,102.8167,5595.973,142.92598,179.28152,464.20944,121.14863,12798.272,75.92278,1335.7827,85.16164,193.13078,107.07129,113.996574,3020.2444,Control
3534.0728,480.1794,175.163,2891.764,59.892326,78.208694,390.99124,152.06183,193.8507,11953.591,61.269497,245.61635,2608.6155,1162.045,228.82735,60.90103,837.1232,1847.2164,60.388966,86.20937,2820.721,1452.8655,3994.6301,136.29877,139.7097,4115.8403,147.98666,152.96732,295.37555,101.447525,7593.582,53.929478,1521.2998,57.136147,167.97572,46.845917,70.511665,3610.3633,Autism
3082.925,692.6111,213.75499,2557.892,74.10697,120.47058,380.36166,200.4219,170.63498,10981.792,48.302586,258.7285,2722.1936,1213.5509,283.99808,88.5218,699.63586,1684.611,78.55288,84.00749,2988.3267,1101.7727,5997.954,258.9665,167.19539,4673.401,103.72179,222.13748,315.47443,143.26581,8671.092,88.354164,824.8791,50.81844,144.89017,108.131874,99.71088,3408.2166,Control
5258.531,352.08005,154.4013,2113.4138,95.18994,48.435658,276.84546,128.74808,175.9197,6590.122,94.24314,183.83441,2739.0762,372.47318,210.88339,39.051105,535.4123,1292.5875,113.49637,74.60589,2188.4802,1212.4059,3390.6753,120.101204,76.22317,4255.4067,146.67409,165.44182,398.65872,135.23862,4783.343,53.97866,1639.9257,66.70989,171.90822,72.34222,53.75291,6105.6724,Autism
1928.473,614.85236,467.30426,1977.7288,108.53972,107.03173,132.60002,194.32681,129.12497,9173.804,57.24667,270.39706,7366.3784,944.699,101.492805,105.39431,503.05695,1235.1011,100.97441,44.01974,4479.576,681.46765,3832.867,293.14368,157.52771,1537.5577,76.77038,320.03638,286.40652,170.49828,16588.236,80.775475,577.79565,43.839565,179.62251,85.120865,97.581276,3312.8872,Control
4081.548,439.15005,136.14438,2701.0066,77.31894,89.43535,460.16223,146.85658,220.14233,8676.859,36.847248,183.0815,3208.6228,628.73926,143.32927,50.636307,675.587,1519.986,62.315483,78.35856,2101.7917,1232.8481,3504.8755,179.16347,158.1159,4111.636,49.305862,176.06023,221.66501,96.33965,4663.8,63.649208,1546.396,67.9956,180.13077,67.40721,43.71844,3499.722,Autism
3290.1335,327.6181,260.514,2498.3591,77.21275,81.537346,285.57016,141.5826,149.71033,8564.105,46.695877,175.94202,4413.067,572.7256,126.33078,67.774635,660.24884,1528.982,73.72493,28.944885,2195.412,889.60315,5701.1016,210.21434,128.74477,3359.2678,105.67391,200.46324,361.49942,154.9705,10123.583,59.11316,1145.6011,51.11132,144.8689,62.023148,73.24289,2721.607,Control
3701.6638,403.64264,123.32198,2911.0142,62.571423,58.447834,434.39944,122.29259,131.13112,6937.7583,48.099506,174.13618,2001.5881,639.8401,236.59836,45.232433,762.6664,1682.2207,85.48256,70.437035,1532.4061,1140.951,3306.125,124.6769,111.30519,4309.524,52.95943,164.90201,454.61298,81.4114,4264.6377,57.57565,1557.5775,62.967472,131.44746,42.159534,49.101845,3557.8833,Autism
2939.5205,809.49756,240.99254,2485.596,102.48601,102.3975,256.53464,197.64108,155.99377,11269.393,49.643044,291.87582,2836.3765,1284.3861,152.25162,79.67558,649.1681,1485.877,115.56189,74.77007,2852.8186,1014.33105,5339.0176,284.3834,155.23882,2683.6953,107.14071,241.73245,398.12885,122.74982,7792.192,68.7487,929.1931,55.37762,180.43896,77.87543,64.88998,2837.9126,Control
3040.2834,270.27072,174.10431,2682.81,69.95441,57.036842,356.2762,103.386986,178.90753,6831.3145,50.64265,161.50221,1722.2207,714.3838,161.37549,37.53222,756.42993,1691.2878,52.786213,69.15294,2834.967,819.0127,3482.741,244.10828,74.549,4363.002,120.9503,116.69008,222.9852,87.17441,5804.5356,45.05985,954.7582,69.60972,150.09657,65.8102,47.809788,3463.0369,Autism
1604.5702,303.76138,218.25902,2428.0552,77.5205,60.93655,111.33179,118.21983,135.12141,9162.785,46.453625,218.03665,3393.6082,906.4822,106.28891,50.824287,630.8246,1451.2855,40.058384,46.27661,3425.4998,563.8687,4891.9863,280.047,162.29701,2935.2876,97.230644,142.46228,376.0625,90.2043,10110.054,36.38549,531.1037,40.471832,216.13098,54.36828,73.81175,2560.1301,Control
3350.2156,426.8341,157.63281,2826.1091,60.157856,29.213545,176.08658,111.06779,132.91951,5435.268,85.18554,167.8108,2858.818,485.3559,153.59268,35.027554,799.77783,1583.0367,60.47687,90.029526,2423.2593,1269.4569,7128.728,28.004425,51.8502,3546.3308,57.417934,128.59128,225.72319,127.47959,12161.175,43.218513,1005.2277,85.99705,121.92971,43.107452,70.578,4593.471,Autism
3903.1514,681.4325,244.99918,3090.4766,48.737564,73.91428,419.95816,144.84602,159.24771,12173.963,51.19961,328.65732,2063.5286,992.1978,108.234566,62.30226,805.769,1716.1407,82.63327,125.81176,2844.4202,1141.4202,3980.5752,149.82329,91.728165,4854.217,69.171295,132.24782,394.56256,128.16312,11634.531,58.662174,1266.1265,112.5321,183.10927,65.087654,68.87124,2670.702,Control
1632.1854,338.04254,243.57555,2412.7737,46.39121,84.66647,173.94923,138.12877,151.51007,8339.44,24.57665,170.251,2805.2834,758.45575,95.19692,69.89146,613.3909,1578.4474,66.91026,44.72427,2864.904,625.93097,6095.236,347.23,84.977585,1657.2114,97.342995,173.54913,219.19934,92.79048,12330.738,50.836636,492.9206,28.36991,150.6294,50.20492,84.82731,2094.1116,Autism
2092.718,357.35367,208.69907,2234.6255,58.694195,78.30843,177.6902,143.6284,125.74728,8878.008,31.17174,212.87679,4790.026,1103.6256,105.946594,59.913826,532.5081,1447.28,110.16453,39.19443,3418.9983,816.61725,4721.971,266.4451,112.94877,1998.4349,69.7701,194.17119,557.4276,105.667206,9555.126,57.717175,602.9905,27.946524,214.4923,75.2739,70.77446,3136.8792,Control
4410.0254,633.7767,218.88124,2948.2192,54.383755,68.94736,501.171,129.91449,203.9075,9224.556,122.340126,223.08582,2830.8882,834.67816,170.7204,57.20727,846.0879,1906.2638,154.21964,62.84256,2163.484,1307.1743,3032.0007,111.41697,87.60052,4959.461,127.0786,171.25671,217.43718,119.78901,8841.515,63.546505,1177.7491,57.4541,175.93608,65.18205,56.961544,6453.6772,Autism
4641.9287,810.14374,344.1779,2118.5305,90.21489,112.681305,407.25815,203.9532,151.33235,12726.681,58.647053,300.18414,4037.819,1189.3547,162.02892,104.115166,513.3101,1330.0818,84.59129,68.30649,4549.5386,1244.9103,5598.882,191.39085,196.524,3541.2217,88.13367,371.16757,451.31897,198.09756,12124.604,86.99299,1619.9833,61.894745,286.86847,115.09616,110.8065,5399.404,Control
3404.706,296.30798,183.72853,3263.4172,41.040134,69.777275,337.19803,108.33972,177.5492,8348.917,63.702393,136.21117,4788.8545,834.029,280.48276,52.273567,802.4283,1831.8329,65.489456,79.06945,2182.4617,1014.081,3619.3289,229.59023,71.64735,4101.278,95.579544,152.53888,315.48526,79.500916,8253.028,53.434032,774.1411,57.89999,118.222176,68.93366,51.737164,3350.3948,Autism
2181.667,576.13776,243.17535,2736.9802,93.89393,99.23212,262.9302,144.28497,180.33116,11195.136,42.00855,293.50104,5240.268,1489.5145,107.59569,76.74275,692.19226,1649.9207,123.63268,44.20942,3622.917,950.68225,6017.927,274.35413,148.52014,2974.5544,60.107197,265.33286,455.20236,112.96042,11392.793,60.49988,716.2402,41.26652,236.29608,88.48234,85.70945,3496.681,Control
3621.988,381.1734,184.10184,2657.812,67.869774,44.409443,341.19427,77.43684,137.34052,9751.978,59.60923,138.5354,3472.3342,1049.9668,170.61197,43.95677,734.2683,1574.0077,45.40149,67.42842,2243.4778,999.0914,4024.8174,123.3314,101.109604,3482.0894,83.14965,148.05618,328.10876,86.16462,7322.8433,50.56371,1499.7979,74.72146,202.86816,51.50252,71.671646,4765.36,Autism
2171.3093,663.49963,228.31183,2405.903,81.97158,77.70045,201.02124,130.36769,144.66158,9063.149,50.18254,229.7192,4350.23,766.949,120.85823,73.66082,552.71814,1385.0555,96.503746,84.01143,2495.898,756.8891,4731.673,170.11095,125.5062,2041.5134,84.11999,225.7567,424.54327,127.915794,8484.794,84.18543,837.7349,103.3341,210.61903,81.94847,62.906296,3045.1108,Control
